id,city,country,country_code,region,cen_lat,cen_lon,freshwater,coastal,forest,grasslands,mountains,peatlands,deserts,farmlands,income_group,pop_size_class,built_form_type
1,"Honolulu","United States","USA","Northern America",21.34068,-157.8935,0,1,1,0,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Compact"
2,"Papeete","French Polynesia","PYF","Oceania",-17.5341,-149.5681,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
3,"Santa Maria","United States","USA","Northern America",34.92312,-120.4344,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
4,"Monterey","United States","USA","Northern America",36.60772,-121.8824,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
5,"Santa Barbara","United States","USA","Northern America",34.42766,-119.7437,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
6,"Santa Cruz","United States","USA","Northern America",36.97128,-121.9787,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
7,"Salinas","United States","USA","Northern America",36.68899,-121.6408,1,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
8,"Oxnard","United States","USA","Northern America",34.21749,-119.2091,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
9,"Watsonville","United States","USA","Northern America",36.91959,-121.7647,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
10,"San Jose","United States","USA","Northern America",37.32711,-121.9333,0,0,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
11,"Camarillo","United States","USA","Northern America",34.22939,-119.0329,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
12,"Thousand Oaks","United States","USA","Northern America",34.18196,-118.8641,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
13,"San Rafael","United States","USA","Northern America",37.96859,-122.5274,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
14,"Los Angeles","United States","USA","Northern America",33.95381,-117.9539,0,1,1,0,0,0,0,0,"HIC","1. More than 10 million","Compact"
15,"Petaluma","United States","USA","Northern America",38.24622,-122.6324,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
16,"Simi Valley","United States","USA","Northern America",34.27228,-118.7401,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
17,"Santa Rosa","United States","USA","Northern America",38.44448,-122.7137,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
18,"Concord","United States","USA","Northern America",37.91394,-122.0483,0,0,1,0,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Compact"
19,"Rosarito","Mexico","MEX","Latin America and the Caribbean",32.37753,-117.0592,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
20,"Ensenada","Mexico","MEX","Latin America and the Caribbean",31.8535,-116.6005,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
21,"Tijuana","United States","USA","Northern America",32.82158,-117.1107,0,1,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
22,"Livermore","United States","USA","Northern America",37.68841,-121.754,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
23,"Las Delicias","Mexico","MEX","Latin America and the Caribbean",32.41519,-116.9571,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
24,"Santa Clarita","United States","USA","Northern America",34.42012,-118.532,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
25,"Napa","United States","USA","Northern America",38.30878,-122.3013,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
26,"Antioch","United States","USA","Northern America",37.98543,-121.7975,1,0,0,1,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
27,"Fairfield","United States","USA","Northern America",38.26401,-122.0303,0,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
28,"Tracy","United States","USA","Northern America",37.73008,-121.4314,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
29,"Bakersfield","United States","USA","Northern America",35.36381,-119.0475,0,0,0,1,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Sprawl"
30,"Vacaville","United States","USA","Northern America",38.34686,-121.9694,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
31,"Tecate","Mexico","MEX","Latin America and the Caribbean",32.56466,-116.6229,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
32,"Palmdale","United States","USA","Northern America",34.58485,-118.1317,0,0,0,1,0,0,1,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
33,"Manteca","United States","USA","Northern America",37.79992,-121.2197,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
34,"Stockton","United States","USA","Northern America",37.97378,-121.2952,1,0,0,1,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
35,"Modesto","United States","USA","Northern America",37.65057,-120.9871,1,0,0,1,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
36,"Turlock","United States","USA","Northern America",37.5061,-120.8528,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
37,"Temecula","United States","USA","Northern America",33.53338,-117.1527,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
38,"Hanford","United States","USA","Northern America",36.33719,-119.6525,0,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
39,"Merced","United States","USA","Northern America",37.31017,-120.4772,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
40,"Davis","United States","USA","Northern America",38.55276,-121.7396,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
41,"Perris","United States","USA","Northern America",33.81242,-117.2129,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
42,"Lodi","United States","USA","Northern America",38.12799,-121.2813,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
43,"Cabo San Lucas","Mexico","MEX","Latin America and the Caribbean",22.907,-109.9328,0,1,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
44,"Madera","United States","USA","Northern America",36.96005,-120.0665,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
45,"Moreno Valley","United States","USA","Northern America",33.92726,-117.2412,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
46,"Fresno","United States","USA","Northern America",36.78757,-119.7705,0,0,0,1,0,0,0,0,"HIC","4. Between 500,000 and 1 million","Sprawl"
47,"Woodland","United States","USA","Northern America",38.67606,-121.7635,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
48,"Visalia","United States","USA","Northern America",36.3274,-119.3272,0,0,0,1,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
49,"Sacramento","United States","USA","Northern America",38.60281,-121.3876,1,0,0,1,0,0,0,0,"HIC","3. Between 1 and 5 million","Sprawl"
50,"Hemet","United States","USA","Northern America",33.75498,-116.962,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
51,"Porterville","United States","USA","Northern America",36.07004,-119.0346,0,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
52,"La Paz","Mexico","MEX","Latin America and the Caribbean",24.11766,-110.3101,0,1,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
53,"San Jos del Cabo","Mexico","MEX","Latin America and the Caribbean",23.0841,-109.7122,0,1,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
54,"Hesperia","United States","USA","Northern America",34.47192,-117.348,0,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Sprawl"
55,"Yuba City","United States","USA","Northern America",39.12929,-121.6315,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
56,"Indio","United States","USA","Northern America",33.75402,-116.3708,0,0,0,1,0,0,1,0,"HIC","5. Between 100,000 and 500,000","Sprawl"
57,"Mexicali","Mexico","MEX","Latin America and the Caribbean",32.62544,-115.4477,0,0,0,1,0,0,1,0,"UMIC","4. Between 500,000 and 1 million","Compact"
58,"Chico","United States","USA","Northern America",39.74565,-121.8372,1,0,0,1,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
59,"San Luis Ro Colorado","Mexico","MEX","Latin America and the Caribbean",32.45688,-114.7683,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
60,"Yuma","United States","USA","Northern America",32.6935,-114.6386,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Sprawl"
61,"Puerto Peasco","Mexico","MEX","Latin America and the Caribbean",31.32556,-113.529,0,1,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
62,"Guaymas","Mexico","MEX","Latin America and the Caribbean",27.92098,-110.9094,0,1,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
63,"Los Mochis","Mexico","MEX","Latin America and the Caribbean",25.79062,-108.9967,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
64,"Heroica Caborca","Mexico","MEX","Latin America and the Caribbean",30.72033,-112.1557,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
65,"Hermosillo","Mexico","MEX","Latin America and the Caribbean",29.08552,-110.9746,0,0,0,1,0,0,1,0,"UMIC","4. Between 500,000 and 1 million","Compact"
66,"Ciudad Obregn","Mexico","MEX","Latin America and the Caribbean",27.4825,-109.9393,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
67,"Reno","United States","USA","Northern America",39.51338,-119.7917,0,0,0,1,0,0,1,0,"HIC","5. Between 100,000 and 500,000","Compact"
68,"Navojoa","Mexico","MEX","Latin America and the Caribbean",27.07156,-109.4427,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
69,"Medford","United States","USA","Northern America",42.33706,-122.8681,1,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
70,"Guasave","Mexico","MEX","Latin America and the Caribbean",25.56534,-108.4677,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
71,"Guamchil","Mexico","MEX","Latin America and the Caribbean",25.4587,-108.0751,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
72,"Lake Havasu City","United States","USA","Northern America",34.4891,-114.3107,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Sprawl"
73,"Culiacn","Mexico","MEX","Latin America and the Caribbean",24.79661,-107.4072,0,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Compact"
74,"Las Vegas","United States","USA","Northern America",36.14443,-115.1591,1,0,0,1,0,0,1,0,"HIC","3. Between 1 and 5 million","Compact"
75,"Mazatln","Mexico","MEX","Latin America and the Caribbean",23.23747,-106.4092,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
76,"Puerto Vallarta","Mexico","MEX","Latin America and the Caribbean",20.65123,-105.2212,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
77,"Manzanillo","Mexico","MEX","Latin America and the Caribbean",19.08816,-104.3095,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
78,"Heroica Nogales","Mexico","MEX","Latin America and the Caribbean",31.29506,-110.9451,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
79,"Phoenix","United States","USA","Northern America",33.47756,-112.0005,1,0,0,1,0,0,1,0,"HIC","3. Between 1 and 5 million","Compact"
80,"Tecoman","Mexico","MEX","Latin America and the Caribbean",18.91159,-103.8802,1,1,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
81,"Tepic","Mexico","MEX","Latin America and the Caribbean",21.49996,-104.8778,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
82,"Eugene","United States","USA","Northern America",44.06552,-123.083,1,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
83,"Colima","Mexico","MEX","Latin America and the Caribbean",19.25323,-103.7297,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
84,"Tucson","United States","USA","Northern America",32.24354,-110.9314,1,0,0,1,0,0,1,0,"HIC","4. Between 500,000 and 1 million","Compact"
85,"San Tan Valley","United States","USA","Northern America",33.16393,-111.5647,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Compact"
86,"Ciudad Guzmn","Mexico","MEX","Latin America and the Caribbean",19.70124,-103.4677,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
87,"Agua Prieta","Mexico","MEX","Latin America and the Caribbean",31.32349,-109.5418,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
88,"Guadalajara","Mexico","MEX","Latin America and the Caribbean",20.63761,-103.3591,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Compact"
89,"Tlajomulco","Mexico","MEX","Latin America and the Caribbean",20.46335,-103.4375,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
90,"Salem","United States","USA","Northern America",44.93936,-123.0197,1,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
91,"Tesistn","Mexico","MEX","Latin America and the Caribbean",20.80124,-103.4834,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
92,"Lzaro Crdenas","Mexico","MEX","Latin America and the Caribbean",17.977,-102.2182,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
93,"Durango","Mexico","MEX","Latin America and the Caribbean",24.02823,-104.6493,1,0,0,1,0,0,1,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
94,"Apatzingn","Mexico","MEX","Latin America and the Caribbean",19.09139,-102.3535,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
95,"Sahuayo de Morelos","Mexico","MEX","Latin America and the Caribbean",20.05345,-102.7205,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
96,"Ocotln","Mexico","MEX","Latin America and the Caribbean",20.35119,-102.7709,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
97,"Cuauhtmoc","Mexico","MEX","Latin America and the Caribbean",28.40602,-106.8617,0,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
98,"St. George","United States","USA","Northern America",37.11296,-113.5937,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Sprawl"
99,"Zihuatanejo","Mexico","MEX","Latin America and the Caribbean",17.64766,-101.5458,0,1,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
100,"Tepatitln","Mexico","MEX","Latin America and the Caribbean",20.81709,-102.7565,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
101,"Portland","United States","USA","Northern America",45.53095,-122.6657,1,0,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
102,"Jacona de Plancarte","Mexico","MEX","Latin America and the Caribbean",19.9496,-102.3119,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
103,"Nuevo Casas Grandes","Mexico","MEX","Latin America and the Caribbean",30.40786,-107.9013,0,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
104,"Hidalgo del Parral","Mexico","MEX","Latin America and the Caribbean",26.93301,-105.6782,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
105,"Zamora","Mexico","MEX","Latin America and the Caribbean",19.99029,-102.2813,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
106,"Uruapan","Mexico","MEX","Latin America and the Caribbean",19.41167,-102.0461,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
107,"Arandas","Mexico","MEX","Latin America and the Caribbean",20.70539,-102.3433,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
108,"La Piedad de Cabadas","Mexico","MEX","Latin America and the Caribbean",20.3504,-102.0273,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
109,"San Juan de los Lagos","Mexico","MEX","Latin America and the Caribbean",21.24699,-102.3344,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
110,"Ptzcuaro","Mexico","MEX","Latin America and the Caribbean",19.51093,-101.6077,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
111,"Chihuahua","Mexico","MEX","Latin America and the Caribbean",28.65845,-106.0884,0,0,0,1,0,0,1,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
112,"Aguascalientes","Mexico","MEX","Latin America and the Caribbean",21.89442,-102.2899,1,0,0,1,0,0,1,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
113,"Fresnillo","Mexico","MEX","Latin America and the Caribbean",23.18201,-102.8704,0,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
114,"San Francisco del Rincn","Mexico","MEX","Latin America and the Caribbean",21.02551,-101.8607,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
115,"Zacatecas","Mexico","MEX","Latin America and the Caribbean",22.75847,-102.5519,0,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
116,"Morelia","Mexico","MEX","Latin America and the Caribbean",19.70733,-101.1995,0,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Compact"
117,"Delicias","Mexico","MEX","Latin America and the Caribbean",28.18588,-105.4632,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
118,"Lagos de Moreno","Mexico","MEX","Latin America and the Caribbean",21.36065,-101.9273,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
119,"Len","Mexico","MEX","Latin America and the Caribbean",21.12396,-101.6666,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Compact"
120,"Uriangato","Mexico","MEX","Latin America and the Caribbean",20.1322,-101.1844,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
121,"Irapuato","Mexico","MEX","Latin America and the Caribbean",20.67618,-101.3555,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
122,"Acapulco","Mexico","MEX","Latin America and the Caribbean",16.8677,-99.86175,0,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Compact"
123,"Silao","Mexico","MEX","Latin America and the Caribbean",20.94633,-101.4299,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
124,"Valle de Santiago","Mexico","MEX","Latin America and the Caribbean",20.38763,-101.1947,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
125,"Salamanca","Mexico","MEX","Latin America and the Caribbean",20.57116,-101.1956,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
126,"Torreon","Mexico","MEX","Latin America and the Caribbean",25.55056,-103.4327,0,0,0,1,0,0,1,0,"UMIC","3. Between 1 and 5 million","Sprawl"
127,"Guanajuato","Mexico","MEX","Latin America and the Caribbean",21.01513,-101.2515,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
128,"Cortazar","Mexico","MEX","Latin America and the Caribbean",20.47828,-100.9577,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
129,"Acmbaro","Mexico","MEX","Latin America and the Caribbean",20.02923,-100.7228,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
130,"Matamoros","Mexico","MEX","Latin America and the Caribbean",25.52953,-103.2362,0,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
131,"Ciudad Hidalgo","Mexico","MEX","Latin America and the Caribbean",19.69105,-100.551,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
132,"Celaya","Mexico","MEX","Latin America and the Caribbean",20.53033,-100.8205,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
133,"Olympia","United States","USA","Northern America",47.02815,-122.864,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Sprawl"
134,"Zitcuaro","Mexico","MEX","Latin America and the Caribbean",19.43097,-100.3544,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
135,"Dolores Hidalgo","Mexico","MEX","Latin America and the Caribbean",21.15362,-100.9319,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
136,"Chilpancingo","Mexico","MEX","Latin America and the Caribbean",17.55046,-99.50442,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
137,"San Miguel de Allende","Mexico","MEX","Latin America and the Caribbean",20.91135,-100.7423,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
138,"San Pedro de las Colonias","Mexico","MEX","Latin America and the Caribbean",25.76063,-102.9824,0,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
139,"Quertaro","Mexico","MEX","Latin America and the Caribbean",20.60135,-100.4139,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Compact"
140,"Seattle","United States","USA","Northern America",47.49542,-122.2998,0,0,1,0,0,0,0,0,"HIC","3. Between 1 and 5 million","Compact"
141,"Iguala","Mexico","MEX","Latin America and the Caribbean",18.34904,-99.53612,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
142,"Taxco","Mexico","MEX","Latin America and the Caribbean",18.55651,-99.61014,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
143,"Ciudad Jurez","Mexico","MEX","Latin America and the Caribbean",31.70385,-106.3906,1,0,0,1,0,0,1,0,"UMIC","3. Between 1 and 5 million","Sprawl"
144,"San Luis Potos","Mexico","MEX","Latin America and the Caribbean",22.15148,-100.9592,0,0,0,1,0,0,1,0,"UMIC","3. Between 1 and 5 million","Compact"
145,"Sunland Park","United States","USA","Northern America",31.84209,-106.5495,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Compact"
146,"Toluca","Mexico","MEX","Latin America and the Caribbean",19.29245,-99.62317,1,0,0,1,1,0,1,0,"UMIC","3. Between 1 and 5 million","Sprawl"
147,"Las Cruces","United States","USA","Northern America",32.31147,-106.7697,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Sprawl"
148,"San Luis de la Paz","Mexico","MEX","Latin America and the Caribbean",21.29449,-100.5167,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
149,"Mountain View","United States","USA","Northern America",31.89388,-106.4229,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Compact"
150,"San Juan del Ro","Mexico","MEX","Latin America and the Caribbean",20.3898,-99.97887,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Compact"
151,"Capulhuac de Mirafuentes","Mexico","MEX","Latin America and the Caribbean",19.17669,-99.45335,1,0,0,1,1,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
152,"Xonacatln","Mexico","MEX","Latin America and the Caribbean",19.40273,-99.488,1,0,1,0,1,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
153,"Cuernavaca","Mexico","MEX","Latin America and the Caribbean",18.89229,-99.20837,0,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
154,"Mexico City","Mexico","MEX","Latin America and the Caribbean",19.45159,-99.10561,1,0,0,1,0,0,1,0,"UMIC","1. More than 10 million","Sprawl"
155,"Tlapa de Comonfort","Mexico","MEX","Latin America and the Caribbean",17.54047,-98.58138,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
156,"Cuautla","Mexico","MEX","Latin America and the Caribbean",18.83616,-98.94617,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
157,"Tula de Allende","Mexico","MEX","Latin America and the Caribbean",20.04857,-99.33656,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
158,"Colonia Santa Teresa","Mexico","MEX","Latin America and the Caribbean",19.84541,-99.24141,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
159,"Coyotepec","Mexico","MEX","Latin America and the Caribbean",19.76398,-99.19511,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
160,"Victoria","Canada","CAN","Northern America",48.45098,-123.3613,0,0,1,0,0,0,0,0,"HIC","5. Between 100,000 and 500,000","Compact"
161,"Huehuetoca","Mexico","MEX","Latin America and the Caribbean",19.83057,-99.2007,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
162,"Yakima","United States","USA","Northern America",46.59105,-120.5384,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Compact"
163,"Rioverde","Mexico","MEX","Latin America and the Caribbean",21.93372,-100.0019,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
164,"Zumpango","Mexico","MEX","Latin America and the Caribbean",19.79353,-99.09186,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
165,"Tepetlixpa","Mexico","MEX","Latin America and the Caribbean",19.03249,-98.79832,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
166,"Nampa","United States","USA","Northern America",43.57494,-116.5663,1,0,0,1,0,0,1,0,"HIC","6. Lesser than 100,000","Compact"
167,"Los Reyes Acozac","Mexico","MEX","Latin America and the Caribbean",19.76982,-98.98357,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
168,"Chiconcuac","Mexico","MEX","Latin America and the Caribbean",19.51541,-98.88483,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
169,"Matehuala","Mexico","MEX","Latin America and the Caribbean",23.65134,-100.6431,0,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
170,"Tizayuca","Mexico","MEX","Latin America and the Caribbean",19.836,-98.96815,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Compact"
171,"Boise","United States","USA","Northern America",43.6185,-116.3044,1,0,0,1,0,0,1,0,"HIC","5. Between 100,000 and 500,000","Compact"
172,"Atlixco","Mexico","MEX","Latin America and the Caribbean",18.90891,-98.43433,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
173,"Nanaimo","Canada","CAN","Northern America",49.19948,-123.9856,0,0,1,0,0,0,0,0,"HIC","6. Lesser than 100,000","Compact"
174,"Fraccionamientos del Sur","Mexico","MEX","Latin America and the Caribbean",20.05727,-98.77497,1,0,0,1,0,0,1,0,"UMIC","6. Lesser than 100,000","Sprawl"
175,"Pachuca","Mexico","MEX","Latin America and the Caribbean",20.10032,-98.7393,1,0,0,1,0,0,1,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
176,"Texmelucan","Mexico","MEX","Latin America and the Caribbean",19.28036,-98.4378,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
