id,city,country,country_code,region,cen_lat,cen_lon,freshwater,coastal,forest,grasslands,mountains,peatlands,deserts,farmlands,income_group,pop_size_class,built_form_type
11384,"Laiwu","China","CHN","Asia",36.22427,117.658,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11385,"Luyi","China","CHN","Asia",33.86216,115.4881,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11386,"Dongkou","China","CHN","Asia",27.06487,110.5764,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11387,"Shulan","China","CHN","Asia",44.41898,126.9538,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11388,"???","China","CHN","Asia",36.7861,118.2645,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11389,"Zoucheng","China","CHN","Asia",35.39808,116.9391,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11390,"????","China","CHN","Asia",41.20555,122.9247,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11391,"Qianjiang","China","CHN","Asia",30.41928,112.8847,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11392,"Anxiang","China","CHN","Asia",29.41415,112.1694,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11393,"Tang'ao","China","CHN","Asia",41.0837,122.8249,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11394,"Tianmen","China","CHN","Asia",30.65896,113.1366,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11395,"Shishou","China","CHN","Asia",29.7199,112.4143,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11396,"Xihe","China","CHN","Asia",27.85217,111.1686,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11397,"Liaoyuan","China","CHN","Asia",42.91563,125.1385,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11398,"Fushun","China","CHN","Asia",41.85891,123.8779,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Sprawl"
11399,"Guangshui","China","CHN","Asia",31.61891,113.8187,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11400,"???","China","CHN","Asia",22.72859,108.3292,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11401,"Anshan","China","CHN","Asia",41.13402,123.0037,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Sprawl"
11402,"Sishui","China","CHN","Asia",35.65801,117.263,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11403,"???","China","CHN","Asia",35.00291,116.6475,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11404,"???","China","CHN","Asia",36.98739,118.5189,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11405,"Gaosha","China","CHN","Asia",26.95649,110.6759,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11406,"Pagar Alam","Indonesia","IDN","Asia",-4.021209,103.2431,0,0,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Sprawl"
11407,"Lijiazui","China","CHN","Asia",30.51386,113.0807,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11408,"Hanshou","China","CHN","Asia",28.91265,111.9571,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11409,"Shijiang","China","CHN","Asia",27.0937,110.791,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11410,"Dengta","China","CHN","Asia",41.424,123.3225,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11411,"Liaoyang","China","CHN","Asia",41.2487,123.1844,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
11412,"Langdong Coach","China","CHN","Asia",22.80868,108.4537,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11413,"Haicheng","China","CHN","Asia",40.85131,122.727,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11414,"Yangxi","China","CHN","Asia",27.6718,111.1801,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11415,"Jilin","China","CHN","Asia",43.8605,126.5477,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Sprawl"
11416,"???","China","CHN","Asia",36.12643,117.7792,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11417,"Bozhou","China","CHN","Asia",33.86639,115.7778,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11418,"Anlu","China","CHN","Asia",31.25935,113.6891,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11419,"Wugang","China","CHN","Asia",26.72899,110.6262,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11420,"Kuantan","Malaysia","MYS","Asia",3.817889,103.3228,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11421,"Dashiqiao","China","CHN","Asia",40.62758,122.5168,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11422,"???","China","CHN","Asia",22.76592,108.4811,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11423,"Tembilahan","Indonesia","IDN","Asia",-.3167681,103.1582,1,0,1,0,0,0,0,0,"LMIC","5. Between 100,000 and 500,000","Compact"
11424,"Komsomolsk-on-Amur","Russia","RUS","Europe",50.56552,137.0246,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11425,"Xiayi","China","CHN","Asia",34.2357,116.1332,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11426,"Wushengguan","China","CHN","Asia",31.61953,114.0026,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11427,"Nanxian","China","CHN","Asia",29.37341,112.3904,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11428,"Xinhua","China","CHN","Asia",27.73629,111.3134,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11429,"Kampong Chhnang","Cambodia","KHM","Asia",12.24105,104.6699,1,0,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Sprawl"
11430,"Bayuquan","China","CHN","Asia",40.25835,122.1378,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11431,"Dangshan","China","CHN","Asia",34.42698,116.3339,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11432,"Dungun","Malaysia","MYS","Asia",4.750227,103.4177,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
11433,"Gaoping","China","CHN","Asia",27.48284,111.1368,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11434,"Binyang","China","CHN","Asia",23.23118,108.7987,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11435,"???","China","CHN","Asia",36.07754,117.8284,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11436,"Muara Bulian","Indonesia","IDN","Asia",-1.711797,103.2599,1,0,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Sprawl"
11437,"Jieshou","China","CHN","Asia",33.26603,115.3674,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11438,"Liuzhou","China","CHN","Asia",24.31289,109.3885,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Sprawl"
11439,"Fengxian","China","CHN","Asia",34.70467,116.6163,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11440,"Xincai","China","CHN","Asia",32.75723,114.9668,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11441,"Mong Cai","Vietnam","VNM","Asia",21.54074,107.9699,0,1,1,0,0,0,0,0,"LMIC","5. Between 100,000 and 500,000","Sprawl"
11442,"Chukai","Malaysia","MYS","Asia",4.219523,103.4226,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
11443,"Loushan","China","CHN","Asia",32.20151,114.5205,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11444,"Gaizhou","China","CHN","Asia",40.39784,122.3528,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11445,"Qingzhou","China","CHN","Asia",36.69194,118.4892,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11446,"Xintai","China","CHN","Asia",35.88896,117.7346,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11447,"Yingcheng","China","CHN","Asia",30.94229,113.571,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11448,"Huarong","China","CHN","Asia",29.52987,112.5642,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11449,"Linquan","China","CHN","Asia",33.06205,115.2489,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11450,"???","China","CHN","Asia",28.14338,111.6479,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11451,"Longhui","China","CHN","Asia",27.11624,111.0236,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11452,"Kluang","Malaysia","MYS","Asia",2.039127,103.3314,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11453,"Dawu","China","CHN","Asia",31.57006,114.1201,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11454,"Maocaojie","China","CHN","Asia",29.06075,112.3131,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11455,"Buxi","China","CHN","Asia",27.69332,111.4258,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11456,"Shouguang","China","CHN","Asia",36.87273,118.7688,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11457,"Xi","China","CHN","Asia",32.35268,114.7441,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11458,"Yunmeng","China","CHN","Asia",31.03608,113.7417,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11459,"????","China","CHN","Asia",34.85183,116.9033,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11460,"???","China","CHN","Asia",29.82718,112.9131,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11461,"Jiangjiazui","China","CHN","Asia",28.81855,112.2075,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11462,"Tanjung Balai Karimun","Indonesia","IDN","Asia",1.002524,103.4172,0,0,1,0,0,0,0,0,"LMIC","5. Between 100,000 and 500,000","Compact"
11463,"Yongji","China","CHN","Asia",43.70308,126.5333,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11464,"Xiaochang","China","CHN","Asia",31.24956,113.9658,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11465,"Hon L?o","Vietnam","VNM","Asia",17.58764,106.527,0,1,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Compact"
11466,"Lahat","Indonesia","IDN","Asia",-3.78528,103.5474,0,0,1,0,0,0,0,0,"LMIC","5. Between 100,000 and 500,000","Sprawl"
11467,"Tengzhou","China","CHN","Asia",35.08183,117.1714,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11468,"Caowei","China","CHN","Asia",29.04616,112.3729,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11469,"Laibin","China","CHN","Asia",23.72789,109.223,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11470,"Yiyuan","China","CHN","Asia",36.18955,118.1826,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11471,"Luorong","China","CHN","Asia",24.39822,109.599,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11472,"Kuala Tungkal","Indonesia","IDN","Asia",-.8182142,103.4594,0,1,0,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Compact"
11473,"Linqu","China","CHN","Asia",36.49516,118.5345,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11474,"Taojiang","China","CHN","Asia",28.52893,112.1244,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11475,"Gongchangling","China","CHN","Asia",41.13171,123.4218,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11476,"Peixian","China","CHN","Asia",34.73523,116.9201,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11477,"Xiantao","China","CHN","Asia",30.38055,113.4563,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11478,"Phnom Penh","Cambodia","KHM","Asia",11.55631,104.8938,1,0,1,0,0,0,0,0,"LMIC","3. Between 1 and 5 million","Sprawl"
11479,"???","China","CHN","Asia",35.51641,117.636,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11480,"Pakse","Laos","LAO","Asia",15.11736,105.7949,1,0,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Compact"
11481,"Weihe","China","CHN","Asia",44.94203,128.3788,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
11482,"Taihe","China","CHN","Asia",33.17079,115.6149,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11483,"Yuanjiang","China","CHN","Asia",28.83659,112.3672,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11484,"Xinning","China","CHN","Asia",26.44485,110.8554,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11485,"Luzhai","China","CHN","Asia",24.47731,109.7341,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11486,"Fangcheng","China","CHN","Asia",21.76412,108.3604,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11487,"????","China","CHN","Asia",36.71651,118.7602,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11488,"N/A","Vietnam","VNM","Asia",10.17866,104.5328,0,0,0,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Compact"
11489,"Jambi","Indonesia","IDN","Asia",-1.619063,103.6012,1,0,1,0,0,0,0,0,"LMIC","4. Between 500,000 and 1 million","Compact"
11490,"???","China","CHN","Asia",34.909,117.1034,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11491,"Lianyuan","China","CHN","Asia",27.69578,111.657,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11492,"Guilin","China","CHN","Asia",25.28544,110.2633,1,0,1,0,0,0,0,0,"UMIC","3. Between 1 and 5 million","Compact"
11493,"Benxi","China","CHN","Asia",41.29503,123.7508,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Compact"
11494,"Xiaogan","China","CHN","Asia",30.93584,113.9239,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
11495,"Litang","China","CHN","Asia",23.20241,109.1275,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11496,"Kulai","Malaysia","MYS","Asia",1.625707,103.6452,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11497,"Fenshui","China","CHN","Asia",30.56953,113.6331,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11498,"Singapore","Singapore","SGP","Asia",1.391134,103.885,0,0,1,0,0,0,0,0,"HIC","2. Between 5 and 10 million","Compact"
11499,"Iskandar Puteri","Malaysia","MYS","Asia",1.439857,103.6082,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Compact"
11500,"???","China","CHN","Asia",36.71049,118.8359,0,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11501,"???","China","CHN","Asia",35.71217,117.9357,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11502,"Xinshao","China","CHN","Asia",27.30746,111.4663,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11503,"Yiyang","China","CHN","Asia",28.58545,112.3479,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
11504,"Shaoyang","China","CHN","Asia",27.23786,111.4846,1,0,1,0,0,0,0,0,"UMIC","4. Between 500,000 and 1 million","Sprawl"
11505,"Shaoyang","China","CHN","Asia",26.99677,111.2796,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11506,"???","China","CHN","Asia",34.8131,117.1229,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11507,"Jixian","China","CHN","Asia",46.72343,131.1393,1,0,0,1,0,1,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11508,"Yongcheng","China","CHN","Asia",33.94422,116.4229,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11509,"Muara Enim","Indonesia","IDN","Asia",-3.658471,103.7733,0,0,1,0,0,0,0,0,"LMIC","6. Lesser than 100,000","Compact"
11510,"Dongfeng","China","CHN","Asia",42.67337,125.5358,1,0,1,0,0,0,0,0,"UMIC","6. Lesser than 100,000","Sprawl"
11511,"Tanjung Enim","Indonesia","IDN","Asia",-3.760592,103.798,0,0,1,0,0,0,0,0,"LMIC","5. Between 100,000 and 500,000","Compact"
11512,"Qiaotou","China","CHN","Asia",41.22777,123.7489,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11513,"Qinzhou","China","CHN","Asia",21.95973,108.6284,0,1,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11514,"Fujin","China","CHN","Asia",47.24918,132.0235,1,0,0,1,0,1,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
11515,"Hanchuan","China","CHN","Asia",30.64847,113.8301,1,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Sprawl"
11516,"Wafangdian","China","CHN","Asia",39.63466,121.9999,0,0,1,0,0,0,0,0,"UMIC","5. Between 100,000 and 500,000","Compact"
