id,city,country,income_group,cen_lat,cen_lon,ave_pop_growth,ave_built_up_pc_growth,ave_temp_change,ave_built_quality_1_change,ave_built_quality_2_change,n_ave_pop_growth,n_ave_built_up_pc_growth,n_ave_built_quality_1_change,n_ave_built_quality_2_change,n_ave_temp_change,imp_pop_1,imp_pop_2
1,"Honolulu","United States","4. HIC",21.34068,-157.8935,1.012227,.9888142,.0705905,1.129001,1.000006,-.1087307,-.9300818,2.653182,1.237832,-.9906647,.0714536,36202.6
2,"Papeete","French Polynesia","1. LIC",-17.5341,-149.5681,1.00972,.9916008,.1144991,,,-.290265,-.784205,,,-.8621298,.115612,10479.09
3,"Santa Maria","United States","4. HIC",34.92312,-120.4344,1.010108,.9947953,.8757074,1.041899,.9951727,-.2621454,-.6169797,.7100781,.9009991,1.366177,.8845592,107870.8
4,"Monterey","United States","4. HIC",36.60772,-121.8824,1.006576,.9963678,1.260421,1.055549,.9970886,-.5178712,-.5346587,1.014599,1.03452,2.49236,1.268709,85421.6
5,"Santa Barbara","United States","4. HIC",34.42766,-119.7437,1.009997,.9956006,.8318603,,.9949344,-.2701808,-.5748223,,.8843915,1.237822,.8401765,95458.59
6,"Santa Cruz","United States","4. HIC",36.97128,-121.9787,1.006769,.9954068,1.260421,1.032354,.9978597,-.5038891,-.5849661,.4971511,1.08826,2.49236,1.268953,127930.4
7,"Salinas","United States","4. HIC",36.68899,-121.6408,1.006557,.9989796,1.260421,1.028876,.9945002,-.5192263,-.3979336,.4195696,.8541299,2.49236,1.268686,188791.3
8,"Oxnard","United States","4. HIC",34.21749,-119.2091,1.010159,.9943114,.8208497,1.040259,.995607,-.2584773,-.6423096,.6734933,.9312691,1.20559,.8291885,244454.3
9,"Watsonville","United States","4. HIC",36.91959,-121.7647,1.006832,.9982907,1.260421,1.000374,.9949151,-.4993492,-.4339972,-.2162753,.8830456,2.49236,1.269032,69315.16
10,"San Jose","United States","4. HIC",37.32711,-121.9333,1.008029,.9941927,1.167556,1.028529,.9979646,-.412712,-.648522,.4118096,1.095575,2.220515,1.17693,5376552
11,"Camarillo","United States","4. HIC",34.22939,-119.0329,1.010081,.9981273,.8208497,,.9918775,-.2641392,-.4425528,,.671351,1.20559,.8291243,54076.7
12,"Thousand Oaks","United States","4. HIC",34.18196,-118.8641,1.009625,.996607,.7380924,,.9938384,-.2970921,-.5221373,,.8080083,.9633329,.7451969,108024.5
13,"San Rafael","United States","4. HIC",37.96859,-122.5274,1.00778,.999063,1.141084,1.003566,.9932302,-.4307334,-.3935684,-.145071,.7656253,2.143022,1.149961,120618.9
14,"Los Angeles","United States","4. HIC",33.95381,-117.9539,1.008961,.9970584,.7452712,1.00596,.9940836,-.3452267,-.4985078,-.091663,.8251019,.9843475,.7519493,1.06e+07
15,"Petaluma","United States","4. HIC",38.24622,-122.6324,1.005923,.9995832,1.017905,.9828251,.9945264,-.5651515,-.3663382,-.6077583,.8559576,1.782436,1.023934,56778.22
16,"Simi Valley","United States","4. HIC",34.27228,-118.7401,1.010025,.995428,.7380924,,.9946221,-.2681784,-.5838584,,.8626289,.9633329,.7454916,80879.77
17,"Santa Rosa","United States","4. HIC",38.44448,-122.7137,1.006059,1.000841,1.017905,1.004282,.993143,-.5553208,-.300517,-.1290909,.7595481,1.782436,1.024072,168183.6
18,"Concord","United States","4. HIC",37.91394,-122.0483,1.008144,.9980463,1.167556,1.01389,.9938633,-.4043314,-.4467932,.0852376,.8097488,2.220515,1.177065,772401
19,"Rosarito","Mexico","3. UMIC",32.37753,-117.0592,1.042781,.9624432,.9433322,,.9963955,2.10342,-2.310569,,.986222,1.564137,.9836889,79375.38
20,"Ensenada","Mexico","3. UMIC",31.8535,-116.6005,1.02455,.9795641,1.003326,,.9967784,.783483,-1.41431,,1.012903,1.73976,1.027958,323401.4
21,"Tijuana","United States","4. HIC",32.82158,-117.1107,1.013811,.9961036,.8520637,,.9902728,.0059658,-.5484907,,.5595177,1.296964,.8638317,3780806
22,"Livermore","United States","4. HIC",37.68841,-121.754,1.007064,1.006743,1.178789,.9807568,.9863347,-.4825189,.0084477,-.6538996,.2850607,2.253398,1.187117,86059.49
23,"Las Delicias","Mexico","3. UMIC",32.41519,-116.9571,1.021126,1.024082,1.034702,,.956282,.5355337,.9161649,,-1.809376,1.831607,1.056561,61138.37
24,"Santa Clarita","United States","4. HIC",34.42012,-118.532,1.008501,1.011207,.7380924,,.980581,-.3785162,.2421775,,-.1159222,.9633329,.7443668,147339.6
25,"Napa","United States","4. HIC",38.30878,-122.3013,1.01033,.9952495,1.132197,1.039976,.9944996,-.2460574,-.5932004,.6671826,.8540925,2.117006,1.143893,84475.16
26,"Antioch","United States","4. HIC",37.98543,-121.7975,1.008703,1.007784,1.178789,.952876,.9837146,-.3638436,.0629518,-1.275872,.1024645,2.253398,1.189049,315981.1
27,"Fairfield","United States","4. HIC",38.26401,-122.0303,1.005718,1.000505,1.132197,1.007008,.993813,-.5800312,-.3180714,-.0682686,.8062387,2.117006,1.13867,105674.2
28,"Tracy","United States","4. HIC",37.73008,-121.4314,1.014984,1.005121,,.9280381,.9802182,.0908423,-.0764536,-1.829964,-.1412074,,,
29,"Bakersfield","United States","4. HIC",35.36381,-119.0475,1.016039,.9954887,1.132061,.9172674,.9886743,.1672606,-.5806789,-2.07024,.4481165,2.116608,1.150218,603749
30,"Vacaville","United States","4. HIC",38.34686,-121.9694,1.006246,1.016602,1.114863,.9673839,.977563,-.5417357,.5245579,-.9522252,-.3262544,2.066265,1.121827,85791.19
31,"Tecate","Mexico","3. UMIC",32.56466,-116.6229,1.023513,1.049451,1.01565,,,.7083939,2.24417,,,1.775835,1.039531,71900.41
32,"Palmdale","United States","4. HIC",34.58485,-118.1317,1.008403,1.010949,.7625163,,.9809262,-.385585,.2286732,,-.0918666,1.034829,.7689238,211355.2
33,"Manteca","United States","4. HIC",37.79992,-121.2197,1.014859,.9918308,,.9457007,.9934747,.0818057,-.7721671,-1.435941,.7826649,,,
34,"Stockton","United States","4. HIC",37.97378,-121.2952,1.015011,.9931825,,.961446,.9919738,.0928274,-.7014036,-1.084689,.6780638,,,
35,"Modesto","United States","4. HIC",37.65057,-120.9871,1.010624,.9966105,1.230643,1.000729,.992853,-.2247994,-.5219563,-.2083504,.739339,2.40519,1.243717,365652.7
36,"Turlock","United States","4. HIC",37.5061,-120.8528,1.01064,1.001253,1.230643,.9564759,.9882342,-.2236687,-.2789251,-1.195566,.4174436,2.40519,1.243736,82581.25
37,"Temecula","United States","4. HIC",33.53338,-117.1527,1.019289,1.026509,.8897982,,.9557402,.4025656,1.043195,,-1.847131,1.407426,.9069615,205559
38,"Hanford","United States","4. HIC",36.33719,-119.6525,1.00953,1.008712,.8585153,.9379272,.9820048,-.3040054,.1115399,-1.609356,-.0166963,1.31585,.8666969,44880.4
39,"Merced","United States","4. HIC",37.31017,-120.4772,1.013997,.9976497,1.164644,,.9885195,.0194127,-.467552,,.4373245,2.21199,1.180946,93188.04
40,"Davis","United States","4. HIC",38.55276,-121.7396,1.012802,1.001387,1.13029,.9703491,.9859921,-.0670951,-.2719046,-.8860776,.2611836,2.111424,1.14476,82123.59
41,"Perris","United States","4. HIC",33.81242,-117.2129,1.019655,1.001621,.8897982,,.9791359,.4290884,-.2596358,,-.2166394,1.407426,.9072875,56318.61
42,"Lodi","United States","4. HIC",38.12799,-121.2813,1.014955,.9929011,1.221466,1.009753,.99231,.088745,-.7161342,-.0070502,.7014963,2.378325,1.239732,83402.53
43,"Cabo San Lucas","Mexico","4. HIC",22.907,-109.9328,,,.7799516,,.9890513,,,,.4743862,1.085868,,145281
44,"Madera","United States","4. HIC",36.96005,-120.0665,1.008272,1.004806,1.085741,,.9870522,-.3951049,-.0929222,,.3350662,1.981015,1.094722,70254.54
45,"Moreno Valley","United States","4. HIC",33.92726,-117.2412,1.019331,.9967362,.8897982,,.9842483,.4055778,-.5153726,,.1396592,1.407426,.9069985,177072.1
46,"Fresno","United States","4. HIC",36.78757,-119.7705,1.011514,.9964648,1.087208,.9739704,.9921241,-.1603436,-.529579,-.8052929,.6885401,1.985308,1.099726,709790.1
47,"Woodland","United States","4. HIC",38.67606,-121.7635,1.012283,.9980285,1.13029,.9742143,.9898179,-.1047086,-.447723,-.7998505,.5278105,2.111424,1.144173,58242.42
48,"Visalia","United States","4. HIC",36.3274,-119.3272,1.013692,1.007022,.7749486,.8987154,.979614,-.0026306,.0230503,-2.484104,-.1833162,1.071223,.7855596,91115.62
49,"Sacramento","United States","4. HIC",38.60281,-121.3876,1.01245,1.000921,1.209479,.9621133,.9867948,-.0926081,-.2963234,-1.069805,.3171293,2.343237,1.224537,1848211
50,"Hemet","United States","4. HIC",33.75498,-116.962,1.019424,.9932989,.9576354,.8975205,.9875636,.4123617,-.6953098,-2.510761,.3707031,1.606007,.9762368,148574.5
51,"Porterville","United States","4. HIC",36.07004,-119.0346,1.013776,1.002361,.7749486,.945922,.9840872,.0034455,-.2209138,-1.431006,.1284269,1.071223,.7856246,44234.73
52,"La Paz","Mexico","3. UMIC",24.11766,-110.3101,1.027782,.979529,1.002252,,.9936284,1.017502,-1.41615,,.793378,1.736615,1.030097,250194.5
53,"San Jos del Cabo","Mexico","3. UMIC",23.0841,-109.7122,,,.8150663,,.9888617,,,,.4611766,1.188661,,88096.27
54,"Hesperia","United States","4. HIC",34.47192,-117.348,1.012823,1.042326,.8373783,,.9472464,-.0655933,1.871191,,-2.439085,1.253975,.8481159,54650.24
55,"Yuba City","United States","4. HIC",39.12929,-121.6315,1.012462,.9999766,1.114786,.9103752,.9877145,-.0917191,-.3457416,-2.223995,.3812251,2.066039,1.128679,64941.13
56,"Indio","United States","4. HIC",33.75402,-116.3708,1.019459,.9902318,.9745994,1.04494,.9905886,.4148819,-.8558735,.7779183,.5815254,1.655666,.9935642,341786.7
57,"Mexicali","Mexico","3. UMIC",32.62544,-115.4477,1.017904,.9977125,.9840064,.92434,.9846632,.3022915,-.4642664,-1.912463,.168575,1.683204,1.001624,792361
58,"Chico","United States","4. HIC",39.74565,-121.8372,1.009785,1.003004,1.034393,1.007483,.9873443,-.2855698,-.1872591,-.0576764,.3554206,1.830701,1.044514,88054.57
59,"San Luis Ro Colorado","Mexico","3. UMIC",32.45688,-114.7683,1.025059,1.005264,.9590631,.9945816,.9704453,.8202853,-.0689401,-.3454896,-.8223009,1.610187,.9830958,187370.5
60,"Yuma","United States","4. HIC",32.6935,-114.6386,1.018772,1.002712,.9615526,.9745654,.9789189,.365116,-.2025295,-.7920187,-.2317599,1.617474,.9796026,75215.36
61,"Puerto Peasco","Mexico","3. UMIC",31.32556,-113.529,1.050192,.9570709,.8030243,,.9954268,2.639961,-2.591798,,.9187075,1.15341,.8433294,53394.46
62,"Guaymas","Mexico","3. UMIC",27.92098,-110.9094,1.021465,.9935002,,,.9862078,.5601146,-.6847728,,.276221,,,
63,"Los Mochis","Mexico","3. UMIC",25.79062,-108.9967,1.014051,.9929999,1.122693,1.016986,.9930959,.0232967,-.710964,.1543065,.7562623,2.089185,1.138468,304160.2
64,"Heroica Caborca","Mexico","3. UMIC",30.72033,-112.1557,1.029654,.9800734,.8643417,,.9909465,1.15299,-1.38765,,.6064659,1.332906,.8899727,52635.22
65,"Hermosillo","Mexico","4. HIC",29.08552,-110.9746,1.022165,.9983102,,,.9799895,.6107609,-.4329768,,-.1571504,,,
66,"Ciudad Obregn","Mexico","3. UMIC",27.4825,-109.9393,1.017185,.9996517,,.9951515,.9834478,.2502383,-.362753,-.3327779,.0838714,,,
67,"Reno","United States","4. HIC",39.51338,-119.7917,1.035651,.974346,1.080853,.9795495,.990999,1.587221,-1.687473,-.6808309,.6101297,1.966707,1.119387,254656.4
68,"Navojoa","Mexico","3. UMIC",27.07156,-109.4427,1.017837,1.005396,,.9000389,.9772024,.297415,-.0620195,-2.45458,-.3513901,,,
69,"Medford","United States","4. HIC",42.33706,-122.8681,1.011218,.994871,1.150907,.995364,.9940043,-.1817569,-.6130139,-.3280376,.8195729,2.171776,1.163818,104744.2
70,"Guasave","Mexico","3. UMIC",25.56534,-108.4677,1.010821,.9985453,.9745765,,.9907364,-.2105584,-.4206676,,.5918273,1.655599,.985122,78937.87
71,"Guamchil","Mexico","3. UMIC",25.4587,-108.0751,1.006401,1.005207,.9374471,,.9884924,-.5305241,-.0719418,,.4354386,1.546909,.9434479,58049.7
72,"Lake Havasu City","United States","4. HIC",34.4891,-114.3107,1.017831,.9921275,1.238248,,.9902771,.2970266,-.7566347,,.5598168,2.427452,1.260327,62207.51
73,"Culiacn","Mexico","3. UMIC",24.79661,-107.4072,1.01582,.9931575,.8041143,1.106966,.9912085,.1514228,-.7027141,2.161628,.6247268,1.156601,.8168356,580550.3
74,"Las Vegas","United States","4. HIC",36.14443,-115.1591,1.030408,.9842589,,,.9860098,1.207624,-1.168542,,.2624174,,,
75,"Mazatln","Mexico","3. UMIC",23.23747,-106.4092,1.016568,.9964134,.6330881,,.9878491,.2055387,-.5322749,,.3906006,.6559507,.6435769,266102.7
76,"Puerto Vallarta","Mexico","3. UMIC",20.65123,-105.2212,1.030043,1.022732,.5740733,1.001123,.9493803,1.181162,.8454544,-.1995666,-2.290369,.483195,.5913202,138459.6
77,"Manzanillo","Mexico","3. UMIC",19.08816,-104.3095,1.033081,,.5378013,,,1.401138,,,,.3770148,.5555924,82384.98
78,"Heroica Nogales","Mexico","3. UMIC",31.29506,-110.9451,1.026199,.9991998,1.03893,,.9752498,.9028919,-.3864075,,-.4874659,1.843983,1.066149,258058.2
79,"Phoenix","United States","4. HIC",33.47756,-112.0005,1.021359,.9905657,.9390345,.9302214,.9884122,.5524675,-.8383908,-1.781259,.4298473,1.551556,.9590917,3391396
80,"Tecoman","Mexico","3. UMIC",18.91159,-103.8802,1.028802,,.4917159,,,1.091348,,,,.2421078,.5058785,48295.01
81,"Tepic","Mexico","3. UMIC",21.49996,-104.8778,1.024824,.9944084,.432344,1.125467,.9812642,.8032996,-.637233,2.574334,-.0683094,.0683066,.4430764,165801.3
82,"Eugene","United States","4. HIC",44.06552,-123.083,1.012631,.9938248,.7420249,1.001391,.9936621,-.0794545,-.66778,-.193591,.795725,.9748445,.7513977,162750.4
83,"Colima","Mexico","3. UMIC",19.25323,-103.7297,1.028464,,.489439,,,1.066871,,,,.2354426,.5033706,142275.5
84,"Tucson","United States","4. HIC",32.24354,-110.9314,1.0225,.9872918,1.080362,,.9905836,.6350483,-1.009775,,.5811765,1.965268,1.10467,635443.3
85,"San Tan Valley","United States","4. HIC",33.16393,-111.5647,1.050803,.9789476,.9780354,.9897003,.9721184,2.684238,-1.446582,-.4543851,-.7056989,1.665725,1.027723,57102.4
86,"Ciudad Guzmn","Mexico","3. UMIC",19.70124,-103.4677,1.009056,.9994448,.4610152,,.9915761,-.3383479,-.3735802,,.6503485,.1522368,.46519,45647.01
87,"Agua Prieta","Mexico","4. HIC",31.32349,-109.5418,1.023941,.9988123,1.253935,,.9777799,.7393962,-.4066952,,-.3111423,2.473375,1.283956,122773.8
88,"Guadalajara","Mexico","3. UMIC",20.63761,-103.3591,1.008885,.9985092,.3973098,,.9926736,-.3507246,-.4225615,,.7268314,-.0342499,.4008397,1799931
89,"Tlajomulco","Mexico","3. UMIC",20.46335,-103.4375,,,.4792786,,.9731373,,,,-.6346951,.2056996,,32360.94
90,"Salem","United States","4. HIC",44.93936,-123.0197,1.010648,1.000967,.7729332,.9898892,.9885083,-.2230905,-.2938772,-.45017,.4365477,1.065323,.7811631,155339
91,"Tesistn","Mexico","3. UMIC",20.80124,-103.4834,1.01339,1.001473,.3973098,,.9853361,-.0245618,-.2674177,,.2154692,-.0342499,.4026296,25355.19
92,"Lzaro Crdenas","Mexico","3. UMIC",17.977,-102.2182,1.018533,.993576,.4230757,1.000161,.988152,.3478455,-.680807,-.2210276,.4117111,.0411753,.4309166,44889.29
93,"Durango","Mexico","3. UMIC",24.02823,-104.6493,1.020237,.9975794,.4383788,,.9825431,.4711728,-.4712339,,.0208182,.0859726,.4472501,251575.9
94,"Apatzingn","Mexico","3. UMIC",19.09139,-102.3535,1.013718,.9969872,.4268136,1.109755,.989449,-.0008095,-.5022333,2.223834,.5021015,.0521175,.4326685,44475.66
95,"Sahuayo de Morelos","Mexico","3. UMIC",20.05345,-102.7205,1.031985,.9836951,.4514942,,.9850674,1.321803,-1.198056,,.1967389,.1243657,.4659354,32972.44
96,"Ocotln","Mexico","3. UMIC",20.35119,-102.7709,1.008353,1.004521,.4514942,,.9872533,-.3892359,-.1078618,,.3490817,.1243657,.4552654,41248.64
97,"Cuauhtmoc","Mexico","3. UMIC",28.40602,-106.8617,1.026994,.9891672,,.9830434,.9843789,.9604343,-.9116007,-.6028891,.1487564,,,
98,"St. George","United States","4. HIC",37.11296,-113.5937,1.020452,.9995137,,.958322,.980435,.4867516,-.3699764,-1.154382,-.1261036,,,
99,"Zihuatanejo","Mexico","3. UMIC",17.64766,-101.5458,1.024397,.9896442,.4016438,,.9863986,.7724095,-.8866295,,.2895179,-.021563,.4114428,30502.58
100,"Tepatitln","Mexico","3. UMIC",20.81709,-102.7565,1.01391,1.008392,.4472303,,.9780729,.0131294,.0947781,,-.2907172,.111884,.4534514,33427.15
101,"Portland","United States","4. HIC",45.53095,-122.6657,1.011991,.9971439,.7333102,.9990226,.9909813,-.1258113,-.4940303,-.2464192,.6088918,.9493338,.7421035,1214132
102,"Jacona de Plancarte","Mexico","3. UMIC",19.9496,-102.3119,1.012983,1.006617,.380621,1.104459,.9806939,-.0540019,.001889,2.1057,-.1080587,-.0831036,.3855625,23143.21
103,"Nuevo Casas Grandes","Mexico","3. UMIC",30.40786,-107.9013,1.016203,.9954117,,.9682173,.9885911,.179154,-.5847103,-.9336336,.4423134,,,
104,"Hidalgo del Parral","Mexico","3. UMIC",26.93301,-105.6782,1.006707,1.012151,.9577169,,.9814124,-.5083772,.2915707,,-.0579868,1.606246,.9641405,103661.8
105,"Zamora","Mexico","3. UMIC",19.99029,-102.2813,1.017958,.9954586,.380621,1.012333,.9868404,.3062012,-.5822546,.0505117,.3203071,-.0831036,.3874562,52890.32
106,"Uruapan","Mexico","3. UMIC",19.41167,-102.0461,1.024511,.9930625,.4268136,1.034412,.9828947,.7806089,-.7076877,.543057,.0453184,.0521175,.437275,132809.3
107,"Arandas","Mexico","3. UMIC",20.70539,-102.3433,1.024278,1.000011,.3341537,,.9762867,.7637872,-.3439506,,-.4152034,-.2191287,.3422663,19444.93
108,"La Piedad de Cabadas","Mexico","3. UMIC",20.3504,-102.0273,1.017389,.9959634,.3698387,1.058295,.9868916,.2650231,-.5558295,1.075844,.3238754,-.1146668,.3762699,35530.36
109,"San Juan de los Lagos","Mexico","3. UMIC",21.24699,-102.3344,1.026627,.9917377,.2417512,,.982179,.9338251,-.777041,,-.0045542,-.489621,.2481882,14334.48
110,"Ptzcuaro","Mexico","3. UMIC",19.51093,-101.6077,1.020106,.9953678,.3962545,1.087224,.9848521,.4617306,-.5870099,1.721199,.1817389,-.037339,.4042217,25654.97
111,"Chihuahua","Mexico","3. UMIC",28.65845,-106.0884,1.015448,1.010212,,,.9748319,.124477,.1900635,,-.5165894,,,
112,"Aguascalientes","Mexico","3. UMIC",21.89442,-102.2899,1.020855,1.001852,.2125607,,.9777607,.5159329,-.2475855,,-.3124757,-.5750713,.2169936,186490
113,"Fresnillo","Mexico","3. UMIC",23.18201,-102.8704,1.016614,1.002011,.1117458,,.9816834,.2088616,-.2392233,,-.0390987,-.8701895,.1136023,14927.53
114,"San Francisco del Rincn","Mexico","3. UMIC",21.02551,-101.8607,1.027794,.9940333,.2016816,1.008298,.9787977,1.018348,-.6568686,-.039505,-.240209,-.6069179,.2072872,27042.19
115,"Zacatecas","Mexico","3. UMIC",22.75847,-102.5519,1.02322,.999631,.1779723,,.9776673,.687205,-.3638358,,-.3189891,-.6763228,.1821049,50710.99
116,"Morelia","Mexico","3. UMIC",19.70733,-101.1995,1.014971,.9986793,.3310442,1.080496,.9865527,.0899447,-.4136564,1.57112,.3002518,-.2282311,.3360003,226251.2
117,"Delicias","Mexico","3. UMIC",28.18588,-105.4632,1.016161,.9946725,1.212672,.9298306,.9893671,.1760814,-.6234042,-1.789977,.496394,2.352584,1.23227,155219.2
118,"Lagos de Moreno","Mexico","3. UMIC",21.36065,-101.9273,1.018967,.9987188,.2016816,1.040699,.9826448,.3792707,-.4115877,.6833063,.0279049,-.6069179,.205507,21063.57
119,"Len","Mexico","3. UMIC",21.12396,-101.6666,1.023702,.9997402,.2016816,1.063263,.9771006,.7220739,-.3581164,1.186675,-.3584851,-.6069179,.2064619,304735.7
120,"Uriangato","Mexico","3. UMIC",20.1322,-101.1844,1.0168,.9980989,.2993259,,.9853507,.222369,-.4440412,,.2164869,-.3210808,.3043547,29990.62
121,"Irapuato","Mexico","3. UMIC",20.67618,-101.3555,1.027683,.9905227,.2094054,1.019515,.9823728,1.010321,-.8406436,.2107407,.0089462,-.5843078,.2152025,95541.66
122,"Acapulco","Mexico","3. UMIC",16.8677,-99.86175,1.019487,.9925697,.4074826,1.045335,.9903351,.4169102,-.7334826,.7867421,.5638586,-.0044707,.4154233,305369.8
123,"Silao","Mexico","3. UMIC",20.94633,-101.4299,1.032483,.9876032,.2094054,1.043453,.9806969,1.357794,-.9934723,.7447429,-.1078469,-.5843078,.2162074,18951.14
124,"Valle de Santiago","Mexico","3. UMIC",20.38763,-101.1947,1.019533,.9897445,.2993259,1.035957,.9910049,.4201986,-.8813813,.5775276,.6105409,-.3210808,.3051725,22818.07
125,"Salamanca","Mexico","3. UMIC",20.57116,-101.1956,1.021919,.9942504,.2094054,.9929477,.9842097,.5929984,-.6455048,-.3819401,.1369674,-.5843078,.2139954,37814.59
126,"Torreon","Mexico","4. HIC",25.55056,-103.4327,1.018594,1.002307,.4392238,.9394058,.9794856,.3522732,-.2237595,-1.57637,-.1922639,.0884461,.4473909,456138.3
127,"Guanajuato","Mexico","3. UMIC",21.01513,-101.2515,1.022771,.9948178,.2094054,,.9828294,.6546491,-.6158002,,.0407698,-.5843078,.2141737,26703.95
128,"Cortazar","Mexico","3. UMIC",20.47828,-100.9577,1.012204,1.003398,.2904334,1.02172,.9845973,-.1103792,-.1666469,.2599256,.1639766,-.3471122,.2939779,18364.88
129,"Acmbaro","Mexico","3. UMIC",20.02923,-100.7228,1.013718,1.002225,.2904334,,.9842775,-.000775,-.2280404,,.1416905,-.3471122,.2944176,16230.01
130,"Matamoros","Mexico","3. UMIC",25.52953,-103.2362,1.013508,1.015082,.4392238,,.9720119,-.0159568,.4449922,,-.7131262,.0884461,.445157,22517.35
131,"Ciudad Hidalgo","Mexico","3. UMIC",19.69105,-100.551,1.014084,1.054702,.3281846,,,.0257133,2.519075,,,-.2366021,.3328067,21120.24
132,"Celaya","Mexico","3. UMIC",20.53033,-100.8205,1.024152,.9895977,.1761632,1.073766,.9866813,.7546471,-.8890633,1.420991,.309216,-.6816187,.1804179,69726.59
133,"Olympia","United States","4. HIC",47.02815,-122.864,1.015326,.9944034,.8033979,.9983466,.9904485,.115639,-.6374951,-.261499,.5717636,1.154503,.8157108,78501.53
134,"Zitcuaro","Mexico","3. UMIC",19.43097,-100.3544,1.027701,1.036172,.3597593,,.939077,1.011616,1.549053,,-3.008428,-.1441724,.3697251,35423.84
135,"Dolores Hidalgo","Mexico","3. UMIC",21.15362,-100.9319,1.019455,1.010736,.0862951,,.9704964,.4146143,.217509,,-.8187451,-.9446921,.087974,6033.842
136,"Chilpancingo","Mexico","3. UMIC",17.55046,-99.50442,1.024221,1.00067,.361033,,.9756976,.759653,-.3094221,,-.4562612,-.1404441,.3697776,75206.58
137,"San Miguel de Allende","Mexico","3. UMIC",20.91135,-100.7423,1.028252,1.000138,.1761632,,.9723895,1.051525,-.3372795,,-.6868109,-.6816187,.1811402,13966.34
138,"San Pedro de las Colonias","Mexico","3. UMIC",25.76063,-102.9824,1.018074,.9960611,.1820278,,.9861312,.3145905,-.5507123,,.270879,-.664451,.1853178,9466.159
139,"Quertaro","Mexico","4. HIC",20.60135,-100.4139,1.023733,1.002726,.2196355,1.113023,.9741616,.7243353,-.2018243,2.29674,-.5633091,-.554361,.2248482,204304.9
140,"Seattle","United States","4. HIC",47.49542,-122.2998,1.014159,.9935983,.8014398,1.000517,.992392,.0311163,-.6796369,-.2130761,.707208,1.148771,.8127871,2146420
141,"Iguala","Mexico","3. UMIC",18.34904,-99.53612,1.017632,.9955719,.3564219,,.987044,.2826129,-.5763263,,.3344929,-.1539421,.3627065,42500.86
142,"Taxco","Mexico","3. UMIC",18.55651,-99.61014,1.011466,1.057638,.3683448,1.0454,,-.1638305,2.672777,.7881835,,-.11904,.3725682,20263.39
143,"Ciudad Jurez","Mexico","4. HIC",31.70385,-106.3906,1.006595,1.00608,1.21566,,.9874449,-.5165075,-.0262555,,.3624367,2.361329,1.223677,2142787
144,"San Luis Potos","Mexico","3. UMIC",22.15148,-100.9592,1.016326,.9945489,-.0383782,,.9893289,.1880611,-.6298755,,.4937354,-1.309652,-.0390048,-41599.7
145,"Sunland Park","United States","4. HIC",31.84209,-106.5495,1.020608,.9896446,,.9269185,.9900606,.4980582,-.8866077,-1.854941,.5447254,,,
146,"Toluca","Mexico","3. UMIC",19.29245,-99.62317,1.019788,1.039418,.3653822,,.9434083,.4386947,1.718986,,-2.706572,-.1277125,.3726124,524014.1
147,"Las Cruces","United States","4. HIC",32.31147,-106.7697,1.013425,.9932194,1.228239,,.9934897,-.022033,-.6994722,,.7837117,2.398153,1.244728,78699.02
148,"San Luis de la Paz","Mexico","3. UMIC",21.29449,-100.5167,1.027475,1.006439,.0862951,,.9670324,.9952515,-.0074218,,-1.060153,-.9446921,.0886661,5956.497
149,"Mountain View","United States","4. HIC",31.89388,-106.4229,1.020878,.985808,1.21566,,.9936505,.5176418,-1.087453,,.794915,2.361329,1.241041,112266.3
150,"San Juan del Ro","Mexico","3. UMIC",20.3898,-99.97887,1.030399,1.002581,.2898917,,.9679998,1.206916,-.2094065,,-.9927384,-.3486979,.298704,42194.32
151,"Capulhuac de Mirafuentes","Mexico","3. UMIC",19.17669,-99.45335,1.027688,1.057631,.3944292,1.050959,,1.010658,2.672365,.9121947,,-.0426823,.4053501,46486.68
152,"Xonacatln","Mexico","3. UMIC",19.40273,-99.488,1.020496,,.3944292,1.086587,,.4899537,,1.706995,,-.0426823,.4025134,26456.03
153,"Cuernavaca","Mexico","3. UMIC",18.89229,-99.20837,1.015599,1.041904,.3597031,1.05683,.9450394,.1354297,1.849094,1.043171,-2.592894,-.1443372,.3653142,314238.2
154,"Mexico City","Mexico","4. HIC",19.45159,-99.10561,1.005956,1.014122,.3944292,1.077803,.9802369,-.5627779,.3947254,1.511045,-.1399031,-.0426823,.3967783,7714864
155,"Tlapa de Comonfort","Mexico","2. LMIC",17.54047,-98.58138,1.04289,.9925419,.4207535,,.9660791,2.1113,-.7349398,,-1.126592,.0343775,.4387995,24737.82
156,"Cuautla","Mexico","3. UMIC",18.83616,-98.94617,1.018754,1.038741,.3675013,1.021963,.9449818,.3638472,1.683503,.265348,-2.596907,-.1215093,.3743935,83141.17
157,"Tula de Allende","Mexico","3. UMIC",20.04857,-99.33656,1.021402,.9947194,.2877059,,.9842442,.5555143,-.6209486,,.1393726,-.3550965,.2938632,15412.53
158,"Colonia Santa Teresa","Mexico","3. UMIC",19.84541,-99.24141,,.9596657,.3171012,,.938853,,-2.455969,,-3.024035,-.2690467,,22013.69
159,"Coyotepec","Mexico","3. UMIC",19.76398,-99.19511,.9888127,,.3171012,1.010025,,-1.803966,,-.0009682,,-.2690467,.3135537,32528.78
