id,city,country,income_group,cen_lat,cen_lon,ave_pop_growth,ave_built_up_pc_growth,ave_temp_change,ave_built_quality_1_change,ave_built_quality_2_change,n_ave_pop_growth,n_ave_built_up_pc_growth,n_ave_built_quality_1_change,n_ave_built_quality_2_change,n_ave_temp_change,imp_pop_1,imp_pop_2
4448,"Vesyoloye","Russia","3. UMIC",43.43229,39.94379,.9998432,1.003631,1.076808,1.00249,1.004246,-1.005342,-.1544218,-.1690584,1.533329,1.954865,1.076639,108757.6
4449,"N/A","South Sudan","1. LIC",10.01349,32.96708,1.028236,,.2679572,,,1.050369,,,,-.4129074,.2755234,16541.33
4450,"Wadi Khaw","Jordan","2. LMIC",32.08998,36.21861,,.9906109,1.144398,,.9528747,,-.8360257,,-2.046834,2.152724,,68587.59
4451,"Rufaah","Sudan","1. LIC",14.76206,33.36657,1.032121,1.036469,.4447522,,,1.331625,1.564598,,,.1046297,.4590381,36442.95
4452,"Vwawa","Tanzania","3. UMIC",-9.110123,32.93821,1.040095,1.017803,.2716823,1.071733,.9446336,1.90893,.5874429,1.375636,-2.621174,-.402003,.2825753,17649.44
4453,"Lundazi","Zambia","2. LMIC",-12.29388,33.17178,1.02431,1.00592,.3103642,1.012922,.970521,.7661089,-.0345989,.0636462,-.8170295,-.2887681,.3179093,33481.44
4454,"Cheboksary","Russia","3. UMIC",56.11526,47.25451,.9944459,1.013475,.5429064,1.005797,.9922154,-1.396116,.3608647,-.0952984,.6948998,.3919592,.539891,227222.4
4455,"Tabora","Tanzania","2. LMIC",-5.019561,32.81719,1.022256,.9836622,.3111238,,.9944763,.6173635,-1.199778,,.8524683,-.2865445,.3180481,54829.7
4456,"As Safirah","Syria","2. LMIC",36.08112,37.37112,1.00921,1.00455,1.027434,,.9863867,-.3272054,-.1063392,,.2886829,1.81033,1.036896,61130.16
4457,"Tete","Mozambique","1. LIC",-16.15366,33.5971,1.042852,.9677154,.3945603,,.9920546,2.108572,-2.034573,,.6836966,-.0422985,.4114681,82127.93
4458,"Inchope","Mozambique","2. LMIC",-19.20633,33.9282,,.9655822,.3905258,.9645908,.9645908,,-2.146246,-1.014535,-1.230317,-.0541088,,23777.47
4459,"????????","Russia","2. LMIC",53.19414,45.1795,.9941158,1.010922,.5550346,1.022795,.9950507,-1.42001,.2272504,.2839024,.8924959,.4274626,.5517687,34720.34
4460,"Bza`a","Syria","2. LMIC",36.36208,37.52166,1.007737,1.000694,.9328055,,.9916342,-.4338146,-.3081928,,.6543986,1.533322,.9400227,61599.32
4461,"Kayanja","Uganda","1. LIC",.3605497,32.8159,1.040429,1.022146,.6404171,,,1.933105,.81482,,,.6774051,.6663083,40129.79
4462,"N/A","South Sudan","1. LIC",4.122035,32.87437,,,.6087985,,,,,,,.5848471,,82818.39
4463,"Malatya","Turkey","3. UMIC",38.35063,38.28084,1.013371,1.013207,1.012236,,.9739426,-.0258824,.3468299,,-.5785666,1.765842,1.025771,453223.6
4464,"Wad Madan?","Sudan","2. LMIC",14.3869,33.53355,1.015193,.99233,.418993,,.9926481,.1059982,-.7460322,,.7250577,.029224,.4253587,230157.1
4465,"Naseer","South Sudan","1. LIC",8.616394,33.06932,1.029806,.9974029,.4361053,,,1.164029,-.4804729,,,.0793172,.4491039,124452.5
4466,"As Suwayda","Syria","2. LMIC",32.70277,36.57447,1.012197,.9929627,1.104214,,.9949513,-.1108798,-.712911,,.8855712,2.035092,1.117683,67935.26
4467,"Yoshkar-Ola","Russia","2. LMIC",56.63533,47.8837,.9943696,1.009745,.4529641,1.027824,.9959571,-1.401639,.165601,.3960901,.9556695,.1286685,.4504137,107434.6
4468,"Nizip","Turkey","3. UMIC",37.00534,37.79348,1.024405,.9891044,1.034008,,.9869297,.7729619,-.9148894,,.3265298,1.829574,1.059243,84062.05
4469,"Lira","Uganda","2. LMIC",2.242286,32.8933,1.033551,1.001735,.6449094,,,1.435187,-.2537136,,,.6905555,.666547,86028.83
4470,"Mwanza","Tanzania","2. LMIC",-2.53619,32.92897,1.045318,.9839575,.4659534,.9750225,.9725571,2.287077,-1.184324,-.7818214,-.6751298,.1666924,.4870692,364394
4471,"Lugazi","Uganda","1. LIC",.3760781,32.90713,1.023594,1.003272,.6404171,,,.7142198,-.1732368,,,.6774051,.6555268,51740.22
4472,"Moatize","Mozambique","1. LIC",-16.11543,33.72129,1.032445,.9830489,.3945603,,.9852763,1.355066,-1.231889,,.2112986,-.0422985,.4073618,35409.38
4473,"Kirov","Russia","2. LMIC",58.60233,49.62457,.9847225,1.019054,.197073,1.069175,.9965271,-2.100102,.6529177,1.318556,.9953898,-.6204087,.1940623,58842.54
4474,"Novocheboksarsk","Russia","2. LMIC",56.11489,47.49236,.9955611,1.012323,.5429064,1.024306,.9922311,-1.315373,.3005944,.3176151,.6959965,.3919592,.5404965,50666
4475,"Furancungo","Mozambique","1. LIC",-14.90953,33.61502,,,.4251194,1.080625,.9902322,,,1.573987,.5566847,.047158,,40713.28
4476,"Labinsk","Russia","2. LMIC",44.64047,40.73044,.998808,1.006408,.9868226,1.050175,.9948181,-1.080288,-.0090443,.8947015,.8762871,1.691448,.9856464,62028.82
4477,"Alshukaba Alwihda","Sudan","1. LIC",14.2912,33.57193,1.011104,1.007857,.418993,,.9813073,-.1900167,.0667959,,-.0653061,.029224,.4236456,22659.14
